time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/10/2022 13:08:34,1,22,2,最大公約数を再帰に求めることを表しており，発想として最も重要かつ難しいところだと考え選択した．,6,2数の最小公倍数が最大公約数を使って求められるという考え方や，問題の考察部分を表していることから選択した．計算量に関係するアルゴリズムの部分を含んでいないため2番目とした．,1,あまり重要とは考えていないが，最大公約数を求める関数を定義しているため，他の行よりは比較的重要と考え，3番目に選択した．,,とても理解できた。,
12/31/2022 0:00:07,10,22,2,このプログラムの中で、最大公約数を求める部分が一番重要であると思ったため。,6,1番で実装したgcdを用いて、最小公倍数をgcdを用いて、求めることが2番目に重要であるため。,5,入力を分割して、intにすることは重要であるが、本質的ではないため、3番目に重要であると思った。,,とても理解できた。,
1/3/2023 7:37:16,11,22,2,最大公約数がこのように再帰を使って求められることは重要な事実だと思います．,6,最大公倍数が積を最大公約数でわると求められることは大事だと思います．gcdを求めるよりも簡単な知識だと感じたので2番目にしました．,5,短いコードなので仕方なく選びました．そんなに重要だとは思っていないです．,,とても理解できた。,
12/16/2022 22:41:43,2,22,6,"この問題の答えが最小公倍数であるという考察、および最小公倍数がA * B / GCD(A, B)でもとまるという知識が両方含まれており、ぶっちぎりで重要な行。",2,最小公倍数を求めるために最大公約数を求める必要があり、それを再帰的に高速に求めている行なので、次に重要。,5,アルゴリズムのほうが重要だが、問題の数値の入力ができないと問題は解けないので、残った2行の中ではこっちの方が大切。,,とても理解できた。,
12/15/2022 20:46:26,3,22,6,この問題のコアは最大公約数を使えば計算できることに気付くことなので。,2,最大公約数の求値アルゴリズムそのものがここで式として記述されてるから。,5,他に選ぶところがないので、まあ入力をとることもプログラミングには大事なことかもしれない。,,とても理解できた。,
12/21/2022 16:15:12,4,22,6,最大公約数を使って答えを求めるという、計算を行なっている部分だから。,2,1番の処理を行うために最大公約数を求める処理を行なっているから。あくまで1番を行うための準備の処理だから。,1,最大公約数を求めるというのを決定している行だから。具体的な処理については書いていないから。,,まあ理解できた。,
12/28/2022 21:00:34,5,22,2,GCDを再帰を利用して求めるというのは、現実的な計算量で回答を実装するにあたって重要だと考えた。,6,"LCMを求めるにあたって、a * b / GCD(a,b) を計算するという部分であり、この問題の本質的なところだと感じたため。ただし、問題からGCDを計算するという考え方に至るまでさほど遠くないと考え、2番めに重要だと考えた。",5,mapを用いて入力を受け取るための手法が書かれており、3番めに重要だと考えた。,,とても理解できた。,
12/16/2022 15:11:22,6,22,2,ユークリッドの互除法を再帰的に処理するにあたっての本体となる行である。,6,問題の答えである最小公倍数は、積を最大公約数で割ったものであることを示している。1 番ほど非自明ではない。,1,最大公約数が二引数の演算であることを示している。1 番や 2 番ではないのは、まあ流石に……,,とても理解できた。,
12/15/2022 16:59:44,7,22,6,6行目のような式で最大公約数から最小公倍数を算出することで答えを求められるということが分かるから．,2,"最大公約数はユークリッドのの互除法を再帰関数の形で実装することによって効率的に求められるということがこの行から分かるから．
1番でない理由としては，この問題はそもそも最小公倍数を求めるものであるのにも関わらず，この行では最大公約数の求め方となってしまうため，なぜ最大公約数を求める必要があるのかの方が重要だと思ったから．",5,"すでに選択していない行のうち，関数の定義より入力を受け取る方が重要だと思ったから．
3番目である理由は，この行では入力を受け取っているだけであり，問題の解法には関係ないから．",,まあ理解できた。,
12/19/2022 12:19:42,8,22,6,AとBの最小公倍数が問題の答えであり、それを求めるために最大公約数を用いるという考え方は重要だから。,2,再帰を用いて最大公約数を求めるというのもアルゴリズム的に大事だから。答えの求め方の方が重要だと思ったので、こちらは2番にした。,5,特に重要だとは思わなかったが、コードが短いので消去法的に選んだ。,,とても理解できた。,
12/21/2022 2:49:07,9,22,2,最大公約数をユークリッドの互除法を用いて求めている行であるから。最小公倍数を求めるには最大公約数を求める必要があるため、最大公約数を求めることがこのコード内で最も重要だと考えている。,6,最大公約数を用いて最小公倍数を求めている行であるから。最小公倍数の求め方は最大公約数が求まっていれば簡単な式で求められるため、1番ではないと考えた。,1,gcd関数の定義について述べている行であるから。実装上のちょっとしたポイントであるため、1番や2番ではないと考えた。,,とても理解できた。,
